City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,camana,-16.6228,-72.7111,16.05,83,14,4.92,PE,1726362491
1,port-aux-francais,-49.35,70.2167,0.58,64,81,15.52,TF,1726362492
2,ushuaia,-54.8,-68.3,1.22,94,100,4.34,AR,1726362494
3,invercargill,-46.4,168.35,7.23,92,100,0.89,NZ,1726362495
4,adamstown,-25.066,-130.1015,19.76,65,6,5.92,PN,1726362496
5,dunedin,-45.8742,170.5036,8.22,99,100,3.84,NZ,1726362498
6,vadso,70.0744,29.7487,6.09,87,100,1.54,NO,1726362499
7,thompson,55.7435,-97.8558,15.71,75,100,5.53,CA,1726362500
8,constantia,44.1833,28.65,14.38,57,83,5.72,RO,1726362501
9,whitehorse,60.7161,-135.0538,13.39,56,83,2.68,CA,1726362503
10,aljezur,37.3191,-8.8033,18.82,84,8,1.03,PT,1726362504
11,jamestown,42.097,-79.2353,22.8,77,0,2.57,US,1726362505
12,yerofey pavlovich,53.9667,121.9667,11.37,56,6,1.4,RU,1726362506
13,lincheng,19.9078,109.6858,27.91,78,61,1.6,CN,1726362507
14,galliano,29.4422,-90.2992,27.0,74,0,2.57,US,1726362508
15,hermanus,-34.4187,19.2345,13.22,92,82,3.57,ZA,1726362509
16,longyearbyen,78.2186,15.6401,6.91,81,75,3.09,SJ,1726362511
17,grytviken,-54.2811,-36.5092,-2.41,75,20,5.41,GS,1726362512
18,tiksi,71.6872,128.8694,2.05,85,100,6.96,RU,1726362513
19,coos bay,43.3665,-124.2179,20.18,88,100,3.09,US,1726362250
20,buckeye,33.3703,-112.5838,37.51,26,0,2.06,US,1726362516
21,lebu,-37.6167,-73.65,9.36,77,100,6.82,CL,1726362517
22,tralee,52.2704,-9.7026,14.36,99,100,1.35,IE,1726362518
23,kapuskasing,49.4169,-82.4331,19.36,68,99,2.39,CA,1726362520
24,papatowai,-46.5619,169.4708,5.96,98,100,5.41,NZ,1726362521
25,glace bay,46.1969,-59.957,14.36,81,13,4.47,CA,1726362522
